[112, 236, 364, 366, 454, 475, 495, 520, 562, 620]
[51, 83, 357, 400, 408, 445, 553, 639, 861, 909]
[6, 47, 179, 310, 316, 477, 547, 789, 887, 905]
[122, 210, 309, 552, 553, 554, 628, 737, 904, 964]
[72, 206, 259, 607, 682, 756, 760, 773, 892, 948]
[354, 548, 587, 593, 694, 751, 804, 841, 870, 901]
[45, 142, 337, 352, 404, 411, 440, 546, 711, 822]
[55, 68, 213, 422, 425, 513, 533, 543, 847, 881]
[101, 324, 418, 518, 532, 637, 729, 779, 895, 989]
[80, 262, 278, 339, 376, 505, 559, 839, 852, 947]
[361, 490, 533, 572, 777, 781, 882, 899, 960, 975]
[24, 38, 43, 64, 152, 181, 847, 874, 905, 949]
